MovieId,Title,ReleaseYear,GenreId,DirectorId,DirectorId,FirstName,MiddleName,LastName,GenreId,GenreDescr
3,Schindler's List,1993,1,3,0,,,,0,
4,Raging Bull,1980,1,4,0,,,,0,
5,Casablanca,1942,1,5,0,,,,0,
6,Citizen Kane,1941,1,6,0,,,,0,
7,Gone with the Wind,1939,1,7,0,,,,0,
8,The Wizard of Ox,1939,2,7,0,,,,0,
9,One Flew Over the Cuckoo's Nest,1975,1,8,0,,,,0,
10,Lawrence of Arabia,1975,2,9,0,,,,0,
11,Vertigo,1958,3,10,0,,,,0,
13,Psycho,1960,3,10,0,,,,0,
14,The Godfather: Part II,1974,1,1,0,,,,0,
15,On the Waterfront,1954,1,11,0,,,,0,
17,Forrest Gump,1994,1,13,0,,,,0,
18,The Sound of Music,1965,1,14,0,,,,0,
19,12 Angry Men,1957,1,15,0,,,,0,
20,West Side Story,1961,1,16,0,,,,0,
21,Star Wars: Episode IV - A New Hope,1977,5,17,0,,,,0,
22,2001: A Space Odyssey,1968,2,18,0,,,,0,
23,E.T. the Extra-Terrestrial,1982,6,3,0,,,,0,
24,The Silence of the Lambs,1991,3,19,0,,,,0,
25,Chinatown,1974,3,20,0,,,,0,
26,The Bridge on the River Kwai,1957,2,9,0,,,,0,
27,Singin' in the Rain,1952,7,21,0,,,,0,
28,It's a Wonderful Life,1946,1,22,0,,,,0,
29,Dr. Strangelove,1964,7,18,0,,,,0,
30,Some Like It Hot,1959,7,12,0,,,,0,
31,Ben-Hur,1959,2,23,0,,,,0,
32,Apocalypse Now,1979,1,1,0,,,,0,
33,Amadeus,1984,1,8,0,,,,0,
34,The Lord of the Rings: The Return of the King,2003,5,24,0,,,,0,
35,Gladiator,2000,5,25,0,,,,0,
36,Titanic,1997,1,26,0,,,,0,
37,From Here to Eternity,1953,1,27,0,,,,0,
38,Saving Private Ryan,1998,1,3,0,,,,0,
39,Unforgiven,1992,1,28,0,,,,0,
40,Raiders of the Lost Ark,1981,5,3,0,,,,0,
41,Rocky,1976,1,29,0,,,,0,
42,A Streetcar Named Desire,1951,1,11,0,,,,0,
43,The Philadelphia Story,1940,7,30,0,,,,0,
44,To Kill a Mockingbird,1962,1,31,0,,,,0,
45,An American in Paris,1951,1,32,0,,,,0,
46,The Best Years of our Lives,1946,1,23,0,,,,0,
47,My Fair Lady,1964,1,30,0,,,,0,
48,A Clockwork Orange,1971,1,18,0,,,,0,
49,Doctor Zhivago,1965,1,9,0,,,,0,
51,The Searchers,1956,2,33,0,,,,0,
52,Jaws,1975,2,3,0,,,,0,
57,The Last Lemon,2021,4,29,0,,,,0,
82,Alien,1999,5,29,0,,,,0,
